Date,Name,Year,Letterboxd URI,Rating
2020-02-09,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,5
2020-02-09,Parasite,2019,https://boxd.it/hTha,5
2020-03-08,Donnie Darko,2001,https://boxd.it/2b2A,5
2020-03-08,Uncut Gems,2019,https://boxd.it/gXGc,4
2020-03-08,Mia and the White Lion,2018,https://boxd.it/hYC8,0.5
2020-03-08,Bohemian Rhapsody,2018,https://boxd.it/f1TK,1
2020-07-29,The Nice Guys,2016,https://boxd.it/94Hg,4.5
2020-07-29,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,5
2020-07-29,The Platform,2019,https://boxd.it/mUm6,0.5
2020-09-10,The House That Jack Built,2018,https://boxd.it/dWO4,5
2020-09-19,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2020-09-19,If I Were a Rich Man,2019,https://boxd.it/nn3s,2
2021-01-10,Solaris,1972,https://boxd.it/2a2Y,5
2021-01-16,Tenet,2020,https://boxd.it/leq4,5
2021-01-20,Good Time,2017,https://boxd.it/fcFu,4
2021-06-20,Spider-Man: Far From Home,2019,https://boxd.it/fegG,2
2021-06-20,Murder Mystery,2019,https://boxd.it/iEBm,1.5
2022-12-28,Avatar: The Way of Water,2022,https://boxd.it/2E2E,2.5
2023-01-02,Triangle of Sadness,2022,https://boxd.it/hXlq,3
2023-01-02,Get Out,2017,https://boxd.it/eOCm,4
2023-01-02,The Batman,2022,https://boxd.it/eDGs,4.5
2023-01-03,Us,2019,https://boxd.it/gnV6,3.5
2023-01-04,Sorry to Bother You,2018,https://boxd.it/f21E,5
2023-01-10,Knives Out,2019,https://boxd.it/jWEA,3.5
2023-01-22,The Mule,2018,https://boxd.it/idcY,3
2023-02-05,Game Night,2018,https://boxd.it/fRtu,3.5
2023-02-05,Creep,2014,https://boxd.it/7l4c,3.5
2023-02-07,The Menu,2022,https://boxd.it/lScm,3
2023-02-08,Oldboy,2003,https://boxd.it/29R2,4
2023-02-08,The Lighthouse,2019,https://boxd.it/icFU,4
2023-02-08,Sleep Tight,2011,https://boxd.it/2GjC,3.5
2023-02-10,Black Swan,2010,https://boxd.it/Sw0,3.5
2023-02-10,Ready or Not,2019,https://boxd.it/kOf0,3
2023-02-11,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4.5
2023-02-12,Aftersun,2022,https://boxd.it/Arw0,4
2023-02-12,Prison 77,2022,https://boxd.it/yq4U,2.5
2023-02-15,Infinity Pool,2023,https://boxd.it/oPSK,3.5
2023-02-16,Venus,2022,https://boxd.it/z7ty,3
2023-02-17,The Northman,2022,https://boxd.it/nK2s,4
2023-02-18,mother!,2017,https://boxd.it/dgRU,4
2023-03-02,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,3
2023-03-20,Scream VI,2023,https://boxd.it/zdfW,3.5
2023-04-02,Winnie the Pooh: Blood and Honey,2023,https://boxd.it/B1rg,0.5
2023-04-08,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5
2023-04-16,Nope,2022,https://boxd.it/sDCe,4.5
2023-04-21,Citizenfour,2014,https://boxd.it/9eSe,2.5
2023-04-22,Evil Dead Rise,2023,https://boxd.it/qIvo,3.5
2023-05-01,Beau Is Afraid,2023,https://boxd.it/u2gE,2
2023-06-11,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,3.5
2023-06-18,The Flash,2023,https://boxd.it/9twC,2.5
2023-07-04,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,2.5
2023-07-04,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3
2023-07-08,Operation Fortune: Ruse de Guerre,2023,https://boxd.it/rJXA,2
2023-07-10,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3
2023-07-10,Captain Voyeur,1969,https://boxd.it/fPY6,2.5
2023-07-13,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3
2023-07-13,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,2.5
2023-07-16,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3.5
2023-07-16,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3.5
2023-07-17,Following,1998,https://boxd.it/1Tj4,4
2023-07-17,Memento,2000,https://boxd.it/2bcK,4
2023-07-17,Batman Begins,2005,https://boxd.it/2aIg,4.5
2023-07-18,The Prestige,2006,https://boxd.it/293w,4
2023-07-18,The Dark Knight,2008,https://boxd.it/2b0k,4
2023-07-19,Inception,2010,https://boxd.it/1skk,4.5
2023-07-19,The Dark Knight Rises,2012,https://boxd.it/H3m,5
2023-07-19,Interstellar,2014,https://boxd.it/4VZ8,5
2023-07-20,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2023-07-21,Oppenheimer,2023,https://boxd.it/wUow,4
2023-07-23,Fight Club,1999,https://boxd.it/2a9q,4.5
2023-08-11,B.I.B.L.E. - The Documentary,2022,https://boxd.it/AfKu,2.5
2023-08-12,Talk to Me,2022,https://boxd.it/C6uQ,3.5
2023-08-13,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3
2023-08-14,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk,3.5
2023-08-14,Siege (Asedio),2023,https://boxd.it/FfGM,1
2023-08-14,Midsommar,2019,https://boxd.it/jhxe,2.5
2023-08-16,Moby & the Void Pacific Choir: Are You Lost in the World Like Me,2016,https://boxd.it/HtWy,1
2023-08-17,A Prayer Before Dawn,2017,https://boxd.it/fZ9i,3
2023-08-17,Circus Maximus,2023,https://boxd.it/wmqo,3
2023-08-18,Cruising,1980,https://boxd.it/1qzW,2.5
2023-08-18,No Hard Feelings,2023,https://boxd.it/xouu,3
2023-08-19,Whateverest,2012,https://boxd.it/76cU,3
2023-08-19,Under the Silver Lake,2018,https://boxd.it/dSAs,2.5
2023-08-20,Us and Them,2017,https://boxd.it/fztQ,3
2023-08-20,Flux Gourmet,2022,https://boxd.it/w23a,3
2023-08-20,Mandy,2018,https://boxd.it/gtti,3.5
2023-08-20,Only God Forgives,2013,https://boxd.it/2HBs,2.5
2023-08-20,Fear and Desire,1952,https://boxd.it/1WVq,2
2023-08-20,Killer's Kiss,1955,https://boxd.it/1Xcc,2.5
2023-08-20,The Killing,1956,https://boxd.it/2aMi,2.5
2023-08-20,Paths of Glory,1957,https://boxd.it/29b6,4
2023-08-20,Spartacus,1960,https://boxd.it/29bq,4
2023-08-20,Lolita,1962,https://boxd.it/29Ag,1.5
2023-08-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,3.5
2023-08-20,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4.5
2023-08-20,A Clockwork Orange,1971,https://boxd.it/2aVE,3.5
2023-08-20,Barry Lyndon,1975,https://boxd.it/25A2,4
2023-08-20,The Shining,1980,https://boxd.it/29Nu,4
2023-08-20,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2023-08-20,Eyes Wide Shut,1999,https://boxd.it/2axs,5
2023-08-21,The Great Beauty,2013,https://boxd.it/5ty6,4
2023-08-22,The Worst Person in the World,2021,https://boxd.it/oyws,3
2023-08-23,Boiling Point,2021,https://boxd.it/uo2u,3.5
2023-08-25,The Lobster,2015,https://boxd.it/7tnw,3.5
2023-08-27,Mission: Impossible,1996,https://boxd.it/29d2,2.5
2023-08-29,Trash Humpers,2009,https://boxd.it/Mki,2
2023-08-29,Lamb,2021,https://boxd.it/tFwE,2.5
