Date,Name,Year,Letterboxd URI,Rating
2019-03-04,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2019-03-04,The Green Mile,1999,https://boxd.it/2agG,4
2019-03-04,La La Land,2016,https://boxd.it/a5fa,5
2019-03-04,Dead Poets Society,1989,https://boxd.it/2aSg,5
2019-03-04,Inception,2010,https://boxd.it/1skk,5
2019-03-04,Se7en,1995,https://boxd.it/29zs,5
2019-03-04,Star Wars,1977,https://boxd.it/72s,3
2019-03-04,The Lion King,1994,https://boxd.it/201Q,3
2019-03-04,Back to the Future,1985,https://boxd.it/2b8e,5
2019-03-04,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4
2019-03-04,Toy Story,1995,https://boxd.it/29qA,3
2019-03-04,Memento,2000,https://boxd.it/2bcK,5
2019-03-04,Blade Runner,1982,https://boxd.it/2bcA,4.5
2019-03-04,Interstellar,2014,https://boxd.it/4VZ8,5
2019-03-04,Les Misérables,2012,https://boxd.it/2TT4,5
2019-03-31,To Kill a Mockingbird,1962,https://boxd.it/2a2E,4
2019-03-31,Isn't It Romantic,2019,https://boxd.it/g1jE,2
2019-03-31,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,4
2019-03-31,School of Rock,2003,https://boxd.it/28xK,4
2019-03-31,Clueless,1995,https://boxd.it/1Ygk,2.5
2019-03-31,Amélie,2001,https://boxd.it/2aUc,4
2019-04-07,The King's Speech,2010,https://boxd.it/dX0,4.5
2019-04-07,Dumbo,2019,https://boxd.it/aNYI,3
2019-04-07,The Edge of Seventeen,2016,https://boxd.it/d5nu,4.5
2019-04-07,The Polar Express,2004,https://boxd.it/23am,0.5
2019-04-12,Minority Report,2002,https://boxd.it/2aWi,3
2019-04-12,Forrest Gump,1994,https://boxd.it/728,4.5
2019-04-12,Groundhog Day,1993,https://boxd.it/2b3e,3.5
2019-04-12,The Greatest Showman,2017,https://boxd.it/acjI,3.5
2019-04-12,Captain Fantastic,2016,https://boxd.it/b2K2,4
2019-04-12,Titanic,1997,https://boxd.it/2a2k,3
2019-04-12,Set It Up,2018,https://boxd.it/dpik,3
2019-04-12,The Intouchables,2011,https://boxd.it/2FT0,4
2019-04-12,Footloose,1984,https://boxd.it/288A,2.5
2019-04-12,Ocean's Eight,2018,https://boxd.it/eaai,3
2019-04-12,Ex Machina,2015,https://boxd.it/7T2k,2.5
2019-04-12,Billy Elliot,2000,https://boxd.it/2bdy,4
2019-04-12,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,3.5
2019-04-12,In the Heart of the Sea,2015,https://boxd.it/6avY,3
2019-04-12,Amadeus,1984,https://boxd.it/2aH8,4
2019-04-12,Four Weddings and a Funeral,1994,https://boxd.it/29KA,4.5
2019-04-12,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,3.5
2019-04-12,The Shape of Water,2017,https://boxd.it/dZ5m,3
2019-04-12,"Love, Simon",2018,https://boxd.it/g02s,3.5
2019-04-12,Kubo and the Two Strings,2016,https://boxd.it/a4wE,3
2019-04-12,Begin Again,2013,https://boxd.it/5Ybs,4
2019-04-12,Mean Girls,2004,https://boxd.it/1VNg,4
2019-04-14,Get Out,2017,https://boxd.it/eOCm,4
2019-04-15,The Matrix,1999,https://boxd.it/2a1m,4.5
2019-04-15,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg,4.5
2019-04-15,The Birdcage,1996,https://boxd.it/1UTi,4.5
2019-04-15,Jumanji,1995,https://boxd.it/1ZLI,3.5
2019-04-15,Mrs. Doubtfire,1993,https://boxd.it/29Cw,4
2019-04-15,The Kissing Booth,2018,https://boxd.it/geR0,0.5
2019-04-15,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,2
2019-04-15,Sierra Burgess Is a Loser,2018,https://boxd.it/gyP4,1
2019-04-15,SPF-18,2017,https://boxd.it/gXti,1.5
2019-04-15,How to Build a Better Boy,2014,https://boxd.it/8U9o,0.5
2019-04-15,The Game,1997,https://boxd.it/26vC,4.5
2019-04-17,The Terminator,1984,https://boxd.it/2aQY,3
2019-04-17,Big Fish,2003,https://boxd.it/2a3M,4
2019-04-17,Black Panther,2018,https://boxd.it/8MHs,2
2019-04-17,Like Father,2018,https://boxd.it/iN76,2.5
2019-04-17,Okja,2017,https://boxd.it/dvXe,3.5
2019-04-18,First Man,2018,https://boxd.it/cPym,2.5
2019-04-18,Allegiant,2016,https://boxd.it/7NNE,0.5
2019-04-18,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,2
2019-04-18,The DUFF,2015,https://boxd.it/8eP8,2
2019-04-19,Expelled,2014,https://boxd.it/9LKC,1
2019-04-19,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,3.5
2019-04-19,Batman Begins,2005,https://boxd.it/2aIg,3
2019-04-19,Nerve,2016,https://boxd.it/aJIc,1.5
2019-04-19,The Goonies,1985,https://boxd.it/1YVC,4
2019-04-19,Jupiter Ascending,2015,https://boxd.it/2Evm,0.5
2019-04-19,The Perfect Date,2019,https://boxd.it/jP9A,1.5
2019-04-19,How to Train Your Dragon,2010,https://boxd.it/1WRy,2
2019-04-19,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,1.5
2019-04-19,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3
