title_normalized,title_original,tmdb_id,year,director,tmdb_genres,tmdb_keywords,nanogenres,themes,overview,popularity,vote_average,lb_url
(500) days of summer,(500) Days of Summer,19913,2009,Marc Webb,Comedy|Drama|Romance,"jealousy|gallery|fight|date|architect|interview|romcom|sister|love|friends|fate|los angeles, california|summer|cynical|year|heartache",,,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",8.64,7.299,https://letterboxd.com/film/500-days-of-summer/
10 things i hate about you,10 Things I Hate About You,4951,1999,Gil Junger,Comedy|Romance|Drama,"high school|seattle, washington|deception|based on play or musical|coming of age|teen movie|shrew|teen comedy|valentine's day|opposites attract|duringcreditsstinger|teenage romance|overprotective father|playful|lighthearted|casual|cliché",,,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the onl",11.3254,7.589,https://letterboxd.com/film/10-things-i-hate-about-you/
12 angry men,12 Angry Men,389,1957,Sidney Lumet,Drama,death penalty|anonymity|court case|judge|jurors|innocence|witness|knife|matter of life and death|based on play or musical|trial|murder|debate|capital punishment|black and white|courtroom|angry|courtroom drama|huis clos|baffled,,,The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the tri,19.8175,8.559,https://letterboxd.com/film/12-angry-men/
12 hour shift,12 Hour Shift,667141,2020,Brea Grant,Comedy|Crime|Horror,,,,"It's 1999 and over the course of one 12-hour shift at an Arkansas hospital, a junkie nurse, her scheming cousin and a group of black market organ-trading criminals start a heist that could lead to their collective demise.",0.8073,5.5,https://letterboxd.com/film/12-hour-shift/
13 going on 30,13 Going on 30,10096,2004,Gary Winick,Comedy|Fantasy|Romance,new york city|photographer|editor-in-chief|time travel|wish|beautiful woman|child as an adult|friends in love|age change|teenager|didactic|time jump,,,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. Thanks to some magic wishing dust, Jenna's prayer has been answered. With a knockout body, a fabulous wardrobe, an athlete boyfriend, a dream job, and superstar friends, this can't be a better",5.8088,6.769,https://letterboxd.com/film/13-going-on-30/
1917,1917,530915,2019,Sam Mendes,War|History|Drama,race against time|world war i|british army|soldier|period drama|real time|trenches|1910s|trench warfare|no man's land|intense|horrified,,,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",9.4157,8.0,https://letterboxd.com/film/1917/
"20,000 species of bees","20,000 Species of Bees",1053600,2023,Estibaliz Urresola Solaguren,Drama,transsexuality|intimate|intense|powerful,,,"Lucía is an eight-year-old girl, who sometimes struggles as the world tries to catch up with the fact that she is trans. As the summer holidays pass, she explores her femininity alongside the women of her family who at the same time reflect on their own femininity.",0.8345,7.1,https://letterboxd.com/film/20-000-species-of-bees/
2001: a space odyssey,2001: A Space Odyssey,62,1968,Stanley Kubrick,Science Fiction|Mystery|Adventure,man vs machine|moon|jupiter|artificial intelligence (a.i.)|based on novel or book|technology|super computer|space travel|space mission|moon base|astronaut|evolution|monolith|space station|space opera|philosophical|2000s|ai rebellion|suspenseful|complicated,,,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",15.6851,8.054,https://letterboxd.com/film/2001-a-space-odyssey/
20th century women,20th Century Women,342737,2016,Mike Mills,Drama,"parent child relationship|1970s|balcony|feminism|punk rock|coming of age|feminist|free spirit|single mother|generation gap|santa barbara, california|mother son relationship|teenager",,,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder i",3.5453,7.318,https://letterboxd.com/film/20th-century-women/
21,21,8065,2008,Robert Luketic,Drama|Crime,friendship|card game|casino|gambling|professor|harvard university|cohabitant|college|girlfriend|studies|dormitory|blackjack|las vegas|furious|ghoulish,,,"Ben Campbell is a young, highly intelligent student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is i",6.5845,6.69,https://letterboxd.com/film/21/
28 years later,28 Years Later,1100988,2025,Danny Boyle,Horror|Thriller|Science Fiction,england|post-apocalyptic future|satanism|satanist|sequel|survival|zombie|survival horror|satanic cult|zombie apocalypse|northumberland|violence|bold|compassionate|ghoulish|lindisfarne,,,"Twenty-eight years after the Rage virus outbreak, a heavily-defended island survives connected to the mainland by a single causeway. When one of the group leaves the island into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but oth",16.9413,6.607,https://letterboxd.com/film/28-years-later/
28 years later: the bone temple,28 Years Later: The Bone Temple,1272837,2026,Nia DaCosta,Horror|Thriller|Science Fiction,england|post-apocalyptic future|satanism|satanist|sequel|satan|survival|zombie|death|crucifix|survival horror|satanic cult|zombie apocalypse|northumberland,,,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,55.9271,7.172,https://letterboxd.com/film/28-years-later-the-bone-temple/
3-iron,Iron Man 3,68721,2013,Shane Black,Action|Adventure|Science Fiction,california|war on terror|superhero|malibu|based on comic|tennessee|billionaire|aftercreditsstinger|marvel cinematic universe (mcu)|christmas|america,,,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",17.3409,6.931,https://letterboxd.com/film/3-iron/
7500,7500,509585,2019,Patrick Vollrath,Thriller|Drama,airplane|kidnapping|pilot|islam|flight|airplane hijacking|terrorism|airplane pilot|islamic terrorism|religious extremism,,,"When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken young American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers.",2.0804,6.155,https://letterboxd.com/film/7500/
8 mile,8 Mile,65,2002,Curtis Hanson,Drama|Music,"individual|adolescence|rap music|hip-hop|rhyme battle|trailer park|street gang|ethnic stereotype|rapper|ghetto|single|detroit, michigan|semi autobiographical|1990s|battle rap",,,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",8.5297,7.142,https://letterboxd.com/film/8-mile/
a brighter summer day,A Brighter Summer Day,15804,1991,Edward Yang,Crime|Drama|Romance,high school|baseball bat|based on true story|coming of age|taiwan|tragedy|murder|youth gang|gang|juvenile delinquent|teenage boy|troubled teen|first love|taipei|1960s|slow cinema|teenage protagonist|bitter,,,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",5.9153,8.253,https://letterboxd.com/film/a-brighter-summer-day/
a brighter tomorrow,A Brighter Tomorrow,925263,2023,Nanni Moretti,Comedy,melancholy|filmmaking|critical,,,"An old film director, unhappy with the movie he's shooting about a Hungarian circus stranded in Rome during the 1956 anti-Soviet uprising, faces divorce from his producer wife and other problems.",0.6775,7.0,https://letterboxd.com/film/a-brighter-tomorrow/
a clockwork orange,A Clockwork Orange,185,1971,Stanley Kubrick,Science Fiction|Crime,"london, england|robbery|street gang|great britain|based on novel or book|nihilism|parent child relationship|society|sexuality|social worker|psychopath|dystopia|dark comedy|satire|beating|juvenile delinquent|home invasion|sex crime|futuristic society|philosophical",,,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an ",11.5145,8.178,https://letterboxd.com/film/a-clockwork-orange/
a complete unknown,A Complete Unknown,661539,2024,James Mangold,Drama|Music,based on novel or book|musician|biography|1960s|disdainful,,,"New York, early 1960s. Against the backdrop of a vibrant music scene and tumultuous cultural upheaval, an enigmatic 19-year-old from Minnesota arrives in the West Village with his guitar and revolutionary talent, destined to change the course of American music.",5.7327,7.084,https://letterboxd.com/film/a-complete-unknown/
a ghost story,A Ghost Story,428449,2017,David Lowery,Drama|Fantasy|Mystery|Romance,sadness|house|loss|grief|morality|construction|death|ghost|piano,,,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",6.2034,7.072,https://letterboxd.com/film/a-ghost-story/
a girl walks home alone at night,A Girl Walks Home Alone at Night,252171,2014,Ana Lily Amirpour,Horror|Romance,vampire|loneliness|black and white|prostitution|drugs|woman director|vampiress (female vampire)|critical|depressing|powerful,,,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",1.8477,6.8,https://letterboxd.com/film/a-girl-walks-home-alone-at-night/
a history of violence,A History of Violence,59,2005,David Cronenberg,Drama|Thriller|Crime,"small town|hero|robbery|indiana, usa|distrust|philadelphia, pennsylvania|dual identity|double life|fight|identity|self-defense|marriage|diner|mistaken identity|family relationships|irish mob|revenge|mobster|lawyer|attempted robbery",,,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,16.9839,7.165,https://letterboxd.com/film/a-history-of-violence/
a man escaped,A Man Escaped,15244,1956,Robert Bresson,Drama|Thriller,prison|nazi|escape|world war ii|rope|prison escape|escaped convict|religion|black and white|spoon|train|prison break|lyon france|trem|prisão|nazismo,,,A captured French Resistance fighter during World War II engineers a daunting escape from prison.,1.5981,7.9,https://letterboxd.com/film/a-man-escaped/
a prayer before dawn,A Prayer Before Dawn,448776,2018,Jean-Stéphane Sauvaire,Drama|Action|Crime,prison|prisoner|based on novel or book|thailand|biography|based on true story|muay thai|kick boxing|based on memoir or autobiography|drugs|outsider|boxing|thai boxing|ladyboy|chiang mai,,,"The amazing true story of Billy Moore, an English boxer incarcerated in Thailand’s most notorious prison. Thrown into a world of drugs and violence, he finds his best chance to escape is to fight his way out in prison Muay Thai tournaments.",2.0549,6.735,https://letterboxd.com/film/a-prayer-before-dawn/
